condition_id,completion_time_s,inlet_velocity_m_s,inlet_temperature_K,cooling_wall_temperature_K,solid_heat_source_MW_m3,pressure_drop_Pa,outlet_temperature_K,outlet_minus_inlet_temperature_K,solid_maximum_temperature_K,solid_maximum_minus_cooling_wall_K,generated_power_W,net_outward_enthalpy_flow_W,net_outward_enthalpy_over_generated,external_fluid_conductive_heat_W,external_solid_conductive_heat_W,total_external_boundary_heat_W,total_external_boundary_heat_over_generated,reconstructed_energy_difference_W,boundary_heat_fallback_used,cooling_wall_heat_into_fluid_W,cooling_wall_heat_over_generated,cooling_wall_heat_direction,relative_mass_difference,relative_energy_difference
u0p10_T900_q4p85,200,0.1,900.0,635.0,4.85,13.15899999999965,739.850902,-160.14909799999998,890.8236884,255.82368840000004,0.17272693,-0.08753196499999999,-0.5067650134232108,1.4173543472221808,-1.677675889,-0.2603215417778193,-1.5071277060144548,-6.26467778193085e-05,False,-0.2713655127,-1.571066611905856,fluid_to_wall,1.032296601074178e-08,4.419979939528322e-05
u0p10_T900_q6p85,200,0.1,900.0,635.0,6.85,13.241800000003423,744.351353,-155.64864699999998,891.4782392,256.47823919999996,0.24395453,-0.08504585410000001,-0.34861354736884786,1.381693872104305,-1.710755401,-0.32906152889569484,-1.3488641875012317,-6.114479569482856e-05,False,-0.2755499684,-1.1295136368240426,fluid_to_wall,3.75380332526414e-09,4.425350428877325e-05
u0p10_T900_q8p85,200,0.1,900.0,635.0,8.85,13.324600000007194,748.8436261,-151.15637389999995,892.1327752,257.13277519999997,0.31518213,-0.08256820209999999,-0.2619698080598668,1.346026684105825,-1.743836587,-0.39780990289417506,-1.2621588124116525,-5.957079417506783e-05,False,-0.2797355899,-0.8875363266946639,fluid_to_wall,8.446051422222869e-09,4.425677059641402e-05
u0p15_T300_q4p85,200,0.15,300.0,635.0,4.85,25.2725999999966,525.5944262,225.59442620000004,634.9192857,-0.08071429999995416,0.17272693,0.5330806648330001,3.0862626044068526,-1.284440060782,1.644798124,0.3603580632180001,2.086287663527628,4.328385000085255e-06,False,0.2534118247,1.4671240014513083,wall_to_fluid,6.255711710323091e-09,3.3698614145139823e-06
u0p15_T300_q6p85,200,0.15,300.0,635.0,6.85,25.599199999996927,530.2520611,230.2520611,634.922823,-0.07717700000000605,0.24395453,0.546386949578,2.239708152080636,-1.311572198175,1.614009269,0.30243707082500015,1.2397272181213448,4.6512470001092154e-06,False,0.2495973353,1.0231305616665531,wall_to_fluid,5.421602104057749e-09,3.5463141155860247e-06
u0p15_T300_q8p85,200,0.15,300.0,635.0,8.85,25.926399999996647,534.9002948,234.90029479999998,634.9263661,-0.07363390000000436,0.31518213,0.559614436902,1.7755271750400314,-1.338755073437,1.583192367,0.24443729356300015,0.77554299656202,4.986661000128123e-06,False,0.2457782647,0.7797975878264418,wall_to_fluid,8.340903061723814e-10,3.724849376163943e-06
u0p15_T500_q4p85,200,0.15,500.0,635.0,4.85,21.229300000006333,598.7338528,98.73385280000002,634.9722878,-0.0277121999999963,0.17272693,0.14378664559999998,0.8324506525994527,-0.688117961243478,0.659186024,-0.02893193724347798,-0.16750102166163655,8.347156522037213e-06,False,0.1067480058,0.6180159966948987,wall_to_fluid,1.737756233133123e-09,1.2130415120990041e-05
u0p15_T500_q6p85,200,0.15,500.0,635.0,6.85,21.437300000005052,603.3939063,103.39390630000003,634.9759856,-0.024014400000055502,0.24395453,0.1512871777,0.6201449823456855,-0.7196611037708337,0.6270029036,-0.0926582001708337,-0.379817501937077,9.152129166301037e-06,False,0.1027302967,0.4211042799656149,wall_to_fluid,2.4328544770996848e-09,1.2717276393494525e-05
u0p15_T500_q8p85,200,0.15,500.0,635.0,8.85,21.64560000000347,608.0439404,108.0439404,634.9796869,-0.02031309999995301,0.31518213,0.1587511225,0.503680594137745,-0.7512289569292433,0.5948079769,-0.15642098002924332,-0.4962875910167982,1.0027470756679424e-05,False,0.0987101,0.31318431663622553,wall_to_fluid,2.78040037161992e-09,1.3348088707427036e-05
u0p15_T700_q4p85,200,0.15,700.0,635.0,4.85,20.02169999999751,669.1934836,-30.806516399999964,699.0459812,64.04598120000003,0.17272693,-0.03138601930000001,-0.18170889333817264,0.25118206396739917,-0.4552999376,-0.2041178736326008,-1.1817374026887457,-4.9243326007974986e-06,False,-0.07055282202,-0.408464516911173,fluid_to_wall,2.9194599461184e-09,1.9604634674220315e-05
